age,job,marital,education,default,balance,housing,loan,contact,day,month,campaign,pdays,previous,poutcome,y,was_previously_contacted,last_contact_category,previous_contact_category,client_status
33,admin.,married,tertiary,no,882,no,no,telephone,21,oct,1,151,3,failure,no,1,long_ago,few_times,failure
42,admin.,single,secondary,no,-247,yes,yes,telephone,21,oct,1,166,1,other,yes,1,long_ago,contacted_once,possible_client_category
33,services,married,secondary,no,3444,yes,no,telephone,21,oct,1,91,4,failure,yes,1,long_ago,many_times,possible_client_category
36,management,married,tertiary,no,2415,yes,no,telephone,22,oct,1,86,4,other,no,1,long_ago,many_times,failure
36,management,married,tertiary,no,0,yes,no,telephone,23,oct,1,143,3,failure,yes,1,long_ago,few_times,possible_client_category
56,technician,married,secondary,no,589,yes,no,unknown,23,oct,1,147,2,success,yes,1,long_ago,few_times,possible_client_category
44,blue-collar,married,secondary,no,1324,yes,no,telephone,25,oct,1,89,2,other,no,1,long_ago,few_times,failure
26,technician,single,tertiary,no,172,no,yes,telephone,4,nov,1,140,4,other,no,1,long_ago,many_times,failure
51,admin.,single,secondary,no,3132,no,no,telephone,5,nov,1,176,1,failure,no,1,long_ago,contacted_once,failure
34,management,married,tertiary,no,1770,yes,no,unknown,6,nov,1,101,11,other,no,1,long_ago,many_times,failure
33,unemployed,divorced,secondary,no,1005,yes,no,telephone,10,nov,1,174,2,failure,no,1,long_ago,few_times,failure
34,admin.,married,tertiary,no,899,yes,no,unknown,12,nov,1,170,3,failure,yes,1,long_ago,few_times,possible_client_category
30,admin.,married,secondary,no,873,yes,no,telephone,12,nov,1,167,3,success,no,1,long_ago,few_times,failure
30,management,single,tertiary,no,1243,yes,no,telephone,13,nov,1,174,1,failure,no,1,long_ago,contacted_once,failure
44,entrepreneur,married,tertiary,no,1631,yes,no,cellular,17,nov,1,195,2,failure,no,1,long_ago,few_times,failure
51,management,divorced,tertiary,no,119,no,no,cellular,17,nov,1,165,2,failure,no,1,long_ago,few_times,failure
51,technician,married,secondary,no,58,yes,no,cellular,17,nov,1,129,2,failure,no,1,long_ago,few_times,failure
44,management,married,tertiary,no,6203,yes,yes,cellular,17,nov,1,188,1,failure,no,1,long_ago,contacted_once,failure
34,technician,single,secondary,no,105,yes,no,cellular,17,nov,1,196,2,failure,no,1,long_ago,few_times,failure
49,management,married,tertiary,no,1533,no,no,cellular,17,nov,1,172,1,failure,no,1,long_ago,contacted_once,failure
47,housemaid,married,tertiary,no,228,yes,no,cellular,17,nov,1,118,1,failure,no,1,long_ago,contacted_once,failure
40,management,single,secondary,no,1623,yes,no,cellular,17,nov,1,167,2,failure,no,1,long_ago,few_times,failure
47,blue-collar,married,secondary,no,1484,no,no,cellular,17,nov,1,119,3,failure,no,1,long_ago,few_times,failure
38,management,married,tertiary,no,494,no,no,cellular,17,nov,1,104,2,other,no,1,long_ago,few_times,failure
