age;job;marital;education;default;balance;housing;loan;contact;day;month;duration;campaign;pdays;previous;poutcome
69;management;divorced;secondary;no;686;yes;no;telephone;13;may;4223;16;-1;38;failure
32;blue-collar;single;unknown;no;-339;no;no;cellular;15;may;4831;24;-1;30;success
89;retired;single;primary;no;7236;no;no;unknown;4;jun;2768;19;-1;17;success
78;retired;divorced;secondary;no;4695;no;no;cellular;13;nov;3953;8;-1;35;success
38;unknown;divorced;primary;no;-3876;yes;no;cellular;24;may;3186;31;-1;1;failure
92;entrepreneur;single;secondary;yes;159;yes;yes;cellular;20;may;3280;21;-1;13;other
92;unknown;married;primary;no;5114;yes;no;cellular;24;aug;2573;17;264;12;unknown
41;blue-collar;married;unknown;no;-2089;yes;yes;unknown;15;may;4616;23;-1;28;unknown
20;housemaid;single;secondary;no;3812;yes;yes;unknown;29;may;2599;37;-1;11;failure
39;services;married;unknown;no;3501;yes;no;telephone;8;may;4033;16;-1;38;failure
70;admin.;single;secondary;no;-597;yes;yes;unknown;5;mar;236;6;551;1;unknown
19;technician;married;unknown;no;1473;no;yes;unknown;29;apr;1304;8;-1;31;success
47;entrepreneur;married;unknown;no;-4770;yes;yes;telephone;15;may;3430;25;-1;12;failure
55;management;divorced;secondary;no;6811;yes;yes;unknown;4;may;1301;18;-1;45;other
19;admin.;divorced;secondary;no;572;no;no;cellular;12;nov;2541;25;-1;26;other
81;management;married;secondary;no;3911;yes;yes;cellular;13;may;2051;12;781;48;other
77;blue-collar;married;tertiary;no;3341;no;no;telephone;2;jun;441;15;-1;40;unknown
38;technician;divorced;primary;no;5573;no;no;telephone;27;jul;2076;26;-1;16;unknown
50;self-employed;divorced;tertiary;no;200;no;yes;telephone;19;jan;3180;41;-1;39;unknown
93;blue-collar;divorced;tertiary;no;2111;yes;no;cellular;19;jul;2657;45;910;30;unknown
75;unknown;single;unknown;no;3177;no;no;unknown;4;apr;3798;26;421;33;other
39;retired;married;secondary;no;4117;yes;no;cellular;4;dec;804;47;-1;23;other
66;management;divorced;primary;no;4963;yes;yes;telephone;26;mar;74;32;518;44;unknown
76;retired;married;unknown;no;67;yes;no;unknown;11;may;2175;10;945;34;failure
59;blue-collar;single;tertiary;no;-492;no;no;unknown;27;feb;3924;16;-1;47;unknown
77;technician;single;secondary;yes;5580;yes;no;cellular;5;dec;2089;7;-1;5;success
32;unemployed;divorced;unknown;no;-4611;yes;yes;telephone;20;jun;40;17;-1;18;success
79;unknown;single;secondary;yes;6210;no;no;cellular;11;jun;2081;23;189;29;unknown
79;retired;married;unknown;yes;593;yes;yes;unknown;30;feb;4683;26;-1;6;other
64;self-employed;divorced;secondary;no;1486;yes;yes;cellular;10;aug;1622;21;153;9;unknown
79;retired;married;tertiary;no;-547;yes;yes;cellular;8;may;341;22;-1;40;other
68;entrepreneur;married;primary;no;1355;yes;yes;telephone;6;oct;4052;7;-1;31;failure
72;management;single;tertiary;no;5313;yes;yes;telephone;6;may;2074;14;-1;33;unknown
81;blue-collar;single;primary;no;3812;yes;yes;unknown;8;apr;645;15;-1;27;other
20;technician;single;secondary;no;2978;no;no;cellular;23;jan;4826;7;785;14;unknown
68;blue-collar;single;unknown;no;1766;yes;yes;cellular;15;may;4263;9;131;29;unknown
24;self-employed;single;tertiary;no;-2836;yes;no;cellular;26;jun;609;48;4;36;failure
38;entrepreneur;divorced;primary;no;-1032;no;no;unknown;14;feb;454;8;-1;28;unknown
90;management;married;tertiary;no;470;yes;yes;unknown;11;aug;2953;23;-1;21;other
56;blue-collar;married;primary;no;2873;no;no;telephone;12;may;1708;29;-1;3;other
35;unemployed;married;tertiary;yes;1708;yes;no;telephone;26;jun;3472;18;-1;19;success
21;entrepreneur;married;primary;no;4450;yes;no;telephone;13;may;2969;31;-1;31;unknown
77;retired;single;primary;no;2920;yes;no;cellular;8;may;3028;30;-1;35;other
31;management;married;secondary;no;1663;yes;yes;cellular;30;jun;4797;39;-1;49;failure
26;blue-collar;divorced;primary;no;8327;yes;no;telephone;18;apr;2681;35;-1;3;unknown
70;entrepreneur;divorced;secondary;no;2718;yes;yes;cellular;25;apr;3629;18;980;26;success
19;technician;married;primary;no;204;yes;no;telephone;1;oct;4225;42;487;16;failure
77;blue-collar;married;unknown;no;7079;yes;no;unknown;15;nov;3067;39;-1;11;failure
88;blue-collar;divorced;unknown;no;5101;yes;yes;telephone;8;may;1386;17;-1;21;failure
61;retired;divorced;unknown;yes;6948;yes;no;unknown;28;may;3776;14;-1;16;success
25;entrepreneur;single;primary;no;1167;yes;no;cellular;11;jul;2866;31;-1;9;success
64;technician;divorced;secondary;no;4428;yes;no;telephone;12;may;4788;24;474;0;failure
52;technician;single;secondary;no;-2858;no;yes;cellular;12;jan;3363;35;301;21;failure
53;technician;single;primary;no;3852;yes;no;unknown;4;apr;4889;44;-1;25;unknown
67;unknown;single;unknown;no;1026;no;yes;unknown;16;aug;4124;45;-1;17;unknown
21;blue-collar;single;unknown;no;-2565;no;no;unknown;4;jul;148;34;-1;49;other
19;management;single;secondary;no;4597;yes;yes;cellular;5;jan;3850;3;-1;13;unknown
23;entrepreneur;married;unknown;no;-3930;no;yes;cellular;24;may;2058;37;-1;46;other
71;technician;divorced;tertiary;no;-4238;no;no;cellular;5;may;1136;43;261;28;unknown
21;retired;single;secondary;no;2587;yes;no;cellular;8;jul;186;40;-1;11;unknown
71;admin.;divorced;unknown;no;3214;yes;yes;unknown;10;jan;2854;26;-1;35;failure
80;management;divorced;secondary;no;4411;no;yes;unknown;17;mar;1250;23;657;34;success
35;student;single;tertiary;no;3725;no;no;telephone;28;aug;1333;44;-1;11;unknown
61;entrepreneur;married;secondary;no;5929;yes;yes;telephone;26;apr;4193;39;-1;6;other
51;student;single;secondary;yes;3600;yes;no;cellular;9;jul;4150;15;-1;28;success
91;blue-collar;married;secondary;no;1103;yes;no;unknown;22;may;2711;49;-1;10;unknown
79;management;divorced;secondary;no;1279;yes;no;unknown;19;feb;4853;4;-1;32;success
